"startTime";"endTime";"Electricity production in Finland"
"2024-12-31T22:00:00.000Z";"2024-12-31T22:15:00.000Z";9612.77
"2024-12-31T22:15:00.000Z";"2024-12-31T22:30:00.000Z";9539.83
"2024-12-31T22:30:00.000Z";"2024-12-31T22:45:00.000Z";9474.33
"2024-12-31T22:45:00.000Z";"2024-12-31T23:00:00.000Z";9459.81
"2024-12-31T23:00:00.000Z";"2024-12-31T23:15:00.000Z";9507.06
"2024-12-31T23:15:00.000Z";"2024-12-31T23:30:00.000Z";9546.94
"2024-12-31T23:30:00.000Z";"2024-12-31T23:45:00.000Z";9534.42
"2024-12-31T23:45:00.000Z";"2025-01-01T00:00:00.000Z";9596.77
"2025-01-01T00:00:00.000Z";"2025-01-01T00:15:00.000Z";9702.27
"2025-01-01T00:15:00.000Z";"2025-01-01T00:30:00.000Z";9727.16
"2025-01-01T00:30:00.000Z";"2025-01-01T00:45:00.000Z";9728.64
"2025-01-01T00:45:00.000Z";"2025-01-01T01:00:00.000Z";9663.45
"2025-01-01T01:00:00.000Z";"2025-01-01T01:15:00.000Z";9553.66
"2025-01-01T01:15:00.000Z";"2025-01-01T01:30:00.000Z";9472.76
"2025-01-01T01:30:00.000Z";"2025-01-01T01:45:00.000Z";9319.46
"2025-01-01T01:45:00.000Z";"2025-01-01T02:00:00.000Z";9212.56
"2025-01-01T02:00:00.000Z";"2025-01-01T02:15:00.000Z";9143.26
"2025-01-01T02:15:00.000Z";"2025-01-01T02:30:00.000Z";9095.83
"2025-01-01T02:30:00.000Z";"2025-01-01T02:45:00.000Z";9108.37
"2025-01-01T02:45:00.000Z";"2025-01-01T03:00:00.000Z";9140.95
"2025-01-01T03:00:00.000Z";"2025-01-01T03:15:00.000Z";9121.01
"2025-01-01T03:15:00.000Z";"2025-01-01T03:30:00.000Z";9079.25
"2025-01-01T03:30:00.000Z";"2025-01-01T03:45:00.000Z";8968.71
"2025-01-01T03:45:00.000Z";"2025-01-01T04:00:00.000Z";8889.71
"2025-01-01T04:00:00.000Z";"2025-01-01T04:15:00.000Z";8839.68
"2025-01-01T04:15:00.000Z";"2025-01-01T04:30:00.000Z";8789.09
"2025-01-01T04:30:00.000Z";"2025-01-01T04:45:00.000Z";8759.43
"2025-01-01T04:45:00.000Z";"2025-01-01T05:00:00.000Z";8730.17
"2025-01-01T05:00:00.000Z";"2025-01-01T05:15:00.000Z";8719.25
"2025-01-01T05:15:00.000Z";"2025-01-01T05:30:00.000Z";8717.85
"2025-01-01T05:30:00.000Z";"2025-01-01T05:45:00.000Z";8672
"2025-01-01T05:45:00.000Z";"2025-01-01T06:00:00.000Z";8638.23
"2025-01-01T06:00:00.000Z";"2025-01-01T06:15:00.000Z";8659.3
"2025-01-01T06:15:00.000Z";"2025-01-01T06:30:00.000Z";8701
"2025-01-01T06:30:00.000Z";"2025-01-01T06:45:00.000Z";8640.91
"2025-01-01T06:45:00.000Z";"2025-01-01T07:00:00.000Z";8687.59
"2025-01-01T07:00:00.000Z";"2025-01-01T07:15:00.000Z";8769.75
"2025-01-01T07:15:00.000Z";"2025-01-01T07:30:00.000Z";8792.34
"2025-01-01T07:30:00.000Z";"2025-01-01T07:45:00.000Z";8747.53
"2025-01-01T07:45:00.000Z";"2025-01-01T08:00:00.000Z";8674.03
"2025-01-01T08:00:00.000Z";"2025-01-01T08:15:00.000Z";8568.67
"2025-01-01T08:15:00.000Z";"2025-01-01T08:30:00.000Z";8490.42
"2025-01-01T08:30:00.000Z";"2025-01-01T08:45:00.000Z";8444.24
"2025-01-01T08:45:00.000Z";"2025-01-01T09:00:00.000Z";8422.12
"2025-01-01T09:00:00.000Z";"2025-01-01T09:15:00.000Z";8429.87
"2025-01-01T09:15:00.000Z";"2025-01-01T09:30:00.000Z";8498.36
"2025-01-01T09:30:00.000Z";"2025-01-01T09:45:00.000Z";8494.57
"2025-01-01T09:45:00.000Z";"2025-01-01T10:00:00.000Z";8486.82
"2025-01-01T10:00:00.000Z";"2025-01-01T10:15:00.000Z";8464.37
"2025-01-01T10:15:00.000Z";"2025-01-01T10:30:00.000Z";8427.21
"2025-01-01T10:30:00.000Z";"2025-01-01T10:45:00.000Z";8422.4
"2025-01-01T10:45:00.000Z";"2025-01-01T11:00:00.000Z";8423.77
"2025-01-01T11:00:00.000Z";"2025-01-01T11:15:00.000Z";8454.52
"2025-01-01T11:15:00.000Z";"2025-01-01T11:30:00.000Z";8411.43
"2025-01-01T11:30:00.000Z";"2025-01-01T11:45:00.000Z";8345.29
"2025-01-01T11:45:00.000Z";"2025-01-01T12:00:00.000Z";8298.95
"2025-01-01T12:00:00.000Z";"2025-01-01T12:15:00.000Z";8345.28
"2025-01-01T12:15:00.000Z";"2025-01-01T12:30:00.000Z";8434.17
"2025-01-01T12:30:00.000Z";"2025-01-01T12:45:00.000Z";8560.58
"2025-01-01T12:45:00.000Z";"2025-01-01T13:00:00.000Z";8653.4
"2025-01-01T13:00:00.000Z";"2025-01-01T13:15:00.000Z";8738.08
"2025-01-01T13:15:00.000Z";"2025-01-01T13:30:00.000Z";8740.43
"2025-01-01T13:30:00.000Z";"2025-01-01T13:45:00.000Z";8706.06
"2025-01-01T13:45:00.000Z";"2025-01-01T14:00:00.000Z";8753.26
"2025-01-01T14:00:00.000Z";"2025-01-01T14:15:00.000Z";8736.95
"2025-01-01T14:15:00.000Z";"2025-01-01T14:30:00.000Z";8730.39
"2025-01-01T14:30:00.000Z";"2025-01-01T14:45:00.000Z";8660.38
"2025-01-01T14:45:00.000Z";"2025-01-01T15:00:00.000Z";8605.91
"2025-01-01T15:00:00.000Z";"2025-01-01T15:15:00.000Z";8732.39
"2025-01-01T15:15:00.000Z";"2025-01-01T15:30:00.000Z";8962.14
"2025-01-01T15:30:00.000Z";"2025-01-01T15:45:00.000Z";8988.14
"2025-01-01T15:45:00.000Z";"2025-01-01T16:00:00.000Z";8985.1
"2025-01-01T16:00:00.000Z";"2025-01-01T16:15:00.000Z";9001.91
"2025-01-01T16:15:00.000Z";"2025-01-01T16:30:00.000Z";8961.38
"2025-01-01T16:30:00.000Z";"2025-01-01T16:45:00.000Z";8851.73
"2025-01-01T16:45:00.000Z";"2025-01-01T17:00:00.000Z";8818.04
"2025-01-01T17:00:00.000Z";"2025-01-01T17:15:00.000Z";8803.55
"2025-01-01T17:15:00.000Z";"2025-01-01T17:30:00.000Z";8779.81
"2025-01-01T17:30:00.000Z";"2025-01-01T17:45:00.000Z";8785.32
"2025-01-01T17:45:00.000Z";"2025-01-01T18:00:00.000Z";8800.18
"2025-01-01T18:00:00.000Z";"2025-01-01T18:15:00.000Z";8767.39
"2025-01-01T18:15:00.000Z";"2025-01-01T18:30:00.000Z";8640.7
"2025-01-01T18:30:00.000Z";"2025-01-01T18:45:00.000Z";8563.76
"2025-01-01T18:45:00.000Z";"2025-01-01T19:00:00.000Z";8516.29
"2025-01-01T19:00:00.000Z";"2025-01-01T19:15:00.000Z";8481
"2025-01-01T19:15:00.000Z";"2025-01-01T19:30:00.000Z";8428.96
"2025-01-01T19:30:00.000Z";"2025-01-01T19:45:00.000Z";8360.04
"2025-01-01T19:45:00.000Z";"2025-01-01T20:00:00.000Z";8349.97
"2025-01-01T20:00:00.000Z";"2025-01-01T20:15:00.000Z";8425.18
"2025-01-01T20:15:00.000Z";"2025-01-01T20:30:00.000Z";8505.81
"2025-01-01T20:30:00.000Z";"2025-01-01T20:45:00.000Z";8549.64
"2025-01-01T20:45:00.000Z";"2025-01-01T21:00:00.000Z";8569.02
"2025-01-01T21:00:00.000Z";"2025-01-01T21:15:00.000Z";8487.44
"2025-01-01T21:15:00.000Z";"2025-01-01T21:30:00.000Z";8395.73
"2025-01-01T21:30:00.000Z";"2025-01-01T21:45:00.000Z";8401.99
"2025-01-01T21:45:00.000Z";"2025-01-01T22:00:00.000Z";8396.47
"2025-01-01T22:00:00.000Z";"2025-01-01T22:15:00.000Z";8236.89
"2025-01-01T22:15:00.000Z";"2025-01-01T22:30:00.000Z";8176.16
"2025-01-01T22:30:00.000Z";"2025-01-01T22:45:00.000Z";8214
"2025-01-01T22:45:00.000Z";"2025-01-01T23:00:00.000Z";8229.06
"2025-01-01T23:00:00.000Z";"2025-01-01T23:15:00.000Z";8246.81
"2025-01-01T23:15:00.000Z";"2025-01-01T23:30:00.000Z";8327.45
"2025-01-01T23:30:00.000Z";"2025-01-01T23:45:00.000Z";8382.67
"2025-01-01T23:45:00.000Z";"2025-01-02T00:00:00.000Z";8374.56
"2025-01-02T00:00:00.000Z";"2025-01-02T00:15:00.000Z";8340.22
"2025-01-02T00:15:00.000Z";"2025-01-02T00:30:00.000Z";8234.93
"2025-01-02T00:30:00.000Z";"2025-01-02T00:45:00.000Z";8123.12
"2025-01-02T00:45:00.000Z";"2025-01-02T01:00:00.000Z";8088.48
"2025-01-02T01:00:00.000Z";"2025-01-02T01:15:00.000Z";8091.76
"2025-01-02T01:15:00.000Z";"2025-01-02T01:30:00.000Z";8070.75
"2025-01-02T01:30:00.000Z";"2025-01-02T01:45:00.000Z";8067.29
"2025-01-02T01:45:00.000Z";"2025-01-02T02:00:00.000Z";8092.32
"2025-01-02T02:00:00.000Z";"2025-01-02T02:15:00.000Z";8177.53
"2025-01-02T02:15:00.000Z";"2025-01-02T02:30:00.000Z";8244.2
"2025-01-02T02:30:00.000Z";"2025-01-02T02:45:00.000Z";8281.98
"2025-01-02T02:45:00.000Z";"2025-01-02T03:00:00.000Z";8300.38
"2025-01-02T03:00:00.000Z";"2025-01-02T03:15:00.000Z";8447.48
"2025-01-02T03:15:00.000Z";"2025-01-02T03:30:00.000Z";8575.69
"2025-01-02T03:30:00.000Z";"2025-01-02T03:45:00.000Z";8581.84
"2025-01-02T03:45:00.000Z";"2025-01-02T04:00:00.000Z";8624.19
"2025-01-02T04:00:00.000Z";"2025-01-02T04:15:00.000Z";8858.47
"2025-01-02T04:15:00.000Z";"2025-01-02T04:30:00.000Z";8945.36
"2025-01-02T04:30:00.000Z";"2025-01-02T04:45:00.000Z";8966.53
"2025-01-02T04:45:00.000Z";"2025-01-02T05:00:00.000Z";9063.19
"2025-01-02T05:00:00.000Z";"2025-01-02T05:15:00.000Z";9153.2
"2025-01-02T05:15:00.000Z";"2025-01-02T05:30:00.000Z";9212.1
"2025-01-02T05:30:00.000Z";"2025-01-02T05:45:00.000Z";9230.27
"2025-01-02T05:45:00.000Z";"2025-01-02T06:00:00.000Z";9231.95
"2025-01-02T06:00:00.000Z";"2025-01-02T06:15:00.000Z";9514.61
"2025-01-02T06:15:00.000Z";"2025-01-02T06:30:00.000Z";9736.46
"2025-01-02T06:30:00.000Z";"2025-01-02T06:45:00.000Z";9835.23
"2025-01-02T06:45:00.000Z";"2025-01-02T07:00:00.000Z";9890.5
"2025-01-02T07:00:00.000Z";"2025-01-02T07:15:00.000Z";9918.36
"2025-01-02T07:15:00.000Z";"2025-01-02T07:30:00.000Z";9938.73
"2025-01-02T07:30:00.000Z";"2025-01-02T07:45:00.000Z";9905.75
"2025-01-02T07:45:00.000Z";"2025-01-02T08:00:00.000Z";9925.41
"2025-01-02T08:00:00.000Z";"2025-01-02T08:15:00.000Z";9999.24
"2025-01-02T08:15:00.000Z";"2025-01-02T08:30:00.000Z";9966.46
"2025-01-02T08:30:00.000Z";"2025-01-02T08:45:00.000Z";9896.01
"2025-01-02T08:45:00.000Z";"2025-01-02T09:00:00.000Z";9884.13
"2025-01-02T09:00:00.000Z";"2025-01-02T09:15:00.000Z";9916.35
"2025-01-02T09:15:00.000Z";"2025-01-02T09:30:00.000Z";9909.75
"2025-01-02T09:30:00.000Z";"2025-01-02T09:45:00.000Z";9934.82
"2025-01-02T09:45:00.000Z";"2025-01-02T10:00:00.000Z";9955.76
"2025-01-02T10:00:00.000Z";"2025-01-02T10:15:00.000Z";9960.1
"2025-01-02T10:15:00.000Z";"2025-01-02T10:30:00.000Z";10015.7
"2025-01-02T10:30:00.000Z";"2025-01-02T10:45:00.000Z";10078.9
"2025-01-02T10:45:00.000Z";"2025-01-02T11:00:00.000Z";10082.2
"2025-01-02T11:00:00.000Z";"2025-01-02T11:15:00.000Z";10093
"2025-01-02T11:15:00.000Z";"2025-01-02T11:30:00.000Z";10084
"2025-01-02T11:30:00.000Z";"2025-01-02T11:45:00.000Z";10092.7
"2025-01-02T11:45:00.000Z";"2025-01-02T12:00:00.000Z";10113.7
"2025-01-02T12:00:00.000Z";"2025-01-02T12:15:00.000Z";10138.1
"2025-01-02T12:15:00.000Z";"2025-01-02T12:30:00.000Z";10130.7
"2025-01-02T12:30:00.000Z";"2025-01-02T12:45:00.000Z";10049.5
"2025-01-02T12:45:00.000Z";"2025-01-02T13:00:00.000Z";10075.8
"2025-01-02T13:00:00.000Z";"2025-01-02T13:15:00.000Z";10154.9
"2025-01-02T13:15:00.000Z";"2025-01-02T13:30:00.000Z";10232.1
"2025-01-02T13:30:00.000Z";"2025-01-02T13:45:00.000Z";10237.7
"2025-01-02T13:45:00.000Z";"2025-01-02T14:00:00.000Z";10288.4
"2025-01-02T14:00:00.000Z";"2025-01-02T14:15:00.000Z";10424.1
"2025-01-02T14:15:00.000Z";"2025-01-02T14:30:00.000Z";10641.7
"2025-01-02T14:30:00.000Z";"2025-01-02T14:45:00.000Z";10790.9
"2025-01-02T14:45:00.000Z";"2025-01-02T15:00:00.000Z";10836.8
"2025-01-02T15:00:00.000Z";"2025-01-02T15:15:00.000Z";10774.5
"2025-01-02T15:15:00.000Z";"2025-01-02T15:30:00.000Z";10820.9
"2025-01-02T15:30:00.000Z";"2025-01-02T15:45:00.000Z";10904.4
"2025-01-02T15:45:00.000Z";"2025-01-02T16:00:00.000Z";10921.2
"2025-01-02T16:00:00.000Z";"2025-01-02T16:15:00.000Z";10939.8
"2025-01-02T16:15:00.000Z";"2025-01-02T16:30:00.000Z";11007.8
"2025-01-02T16:30:00.000Z";"2025-01-02T16:45:00.000Z";10990
"2025-01-02T16:45:00.000Z";"2025-01-02T17:00:00.000Z";10990.9
"2025-01-02T17:00:00.000Z";"2025-01-02T17:15:00.000Z";10939.6
"2025-01-02T17:15:00.000Z";"2025-01-02T17:30:00.000Z";10927
"2025-01-02T17:30:00.000Z";"2025-01-02T17:45:00.000Z";10927.3
"2025-01-02T17:45:00.000Z";"2025-01-02T18:00:00.000Z";10930.8
"2025-01-02T18:00:00.000Z";"2025-01-02T18:15:00.000Z";10936.1
"2025-01-02T18:15:00.000Z";"2025-01-02T18:30:00.000Z";10917.5
"2025-01-02T18:30:00.000Z";"2025-01-02T18:45:00.000Z";10778.8
"2025-01-02T18:45:00.000Z";"2025-01-02T19:00:00.000Z";10679.2
"2025-01-02T19:00:00.000Z";"2025-01-02T19:15:00.000Z";10474.9
"2025-01-02T19:15:00.000Z";"2025-01-02T19:30:00.000Z";10380.8
"2025-01-02T19:30:00.000Z";"2025-01-02T19:45:00.000Z";10346.2
"2025-01-02T19:45:00.000Z";"2025-01-02T20:00:00.000Z";10292
"2025-01-02T20:00:00.000Z";"2025-01-02T20:15:00.000Z";10221
"2025-01-02T20:15:00.000Z";"2025-01-02T20:30:00.000Z";10216.6
"2025-01-02T20:30:00.000Z";"2025-01-02T20:45:00.000Z";10188.3
"2025-01-02T20:45:00.000Z";"2025-01-02T21:00:00.000Z";10117.1
"2025-01-02T21:00:00.000Z";"2025-01-02T21:15:00.000Z";9932.74
"2025-01-02T21:15:00.000Z";"2025-01-02T21:30:00.000Z";9867.29
"2025-01-02T21:30:00.000Z";"2025-01-02T21:45:00.000Z";9809.26
"2025-01-02T21:45:00.000Z";"2025-01-02T22:00:00.000Z";9780.64
"2025-01-02T22:00:00.000Z";"2025-01-02T22:15:00.000Z";9725.79
"2025-01-02T22:15:00.000Z";"2025-01-02T22:30:00.000Z";9610.65
"2025-01-02T22:30:00.000Z";"2025-01-02T22:45:00.000Z";9520.36
"2025-01-02T22:45:00.000Z";"2025-01-02T23:00:00.000Z";9397.22
"2025-01-02T23:00:00.000Z";"2025-01-02T23:15:00.000Z";9261.87
"2025-01-02T23:15:00.000Z";"2025-01-02T23:30:00.000Z";9218.99
"2025-01-02T23:30:00.000Z";"2025-01-02T23:45:00.000Z";9263.81
"2025-01-02T23:45:00.000Z";"2025-01-03T00:00:00.000Z";9201.68
"2025-01-03T00:00:00.000Z";"2025-01-03T00:15:00.000Z";9098.17
"2025-01-03T00:15:00.000Z";"2025-01-03T00:30:00.000Z";9122.34
"2025-01-03T00:30:00.000Z";"2025-01-03T00:45:00.000Z";9132.1
"2025-01-03T00:45:00.000Z";"2025-01-03T01:00:00.000Z";9073.61
"2025-01-03T01:00:00.000Z";"2025-01-03T01:15:00.000Z";9058.88
"2025-01-03T01:15:00.000Z";"2025-01-03T01:30:00.000Z";9115.95
"2025-01-03T01:30:00.000Z";"2025-01-03T01:45:00.000Z";9108.36
"2025-01-03T01:45:00.000Z";"2025-01-03T02:00:00.000Z";9088.1
"2025-01-03T02:00:00.000Z";"2025-01-03T02:15:00.000Z";9096.63
"2025-01-03T02:15:00.000Z";"2025-01-03T02:30:00.000Z";9030.35
"2025-01-03T02:30:00.000Z";"2025-01-03T02:45:00.000Z";8794.36
"2025-01-03T02:45:00.000Z";"2025-01-03T03:00:00.000Z";8831.79
"2025-01-03T03:00:00.000Z";"2025-01-03T03:15:00.000Z";9071.94
"2025-01-03T03:15:00.000Z";"2025-01-03T03:30:00.000Z";9204.15
"2025-01-03T03:30:00.000Z";"2025-01-03T03:45:00.000Z";9333.72
"2025-01-03T03:45:00.000Z";"2025-01-03T04:00:00.000Z";9428.3
"2025-01-03T04:00:00.000Z";"2025-01-03T04:15:00.000Z";9503.7
"2025-01-03T04:15:00.000Z";"2025-01-03T04:30:00.000Z";9539.42
"2025-01-03T04:30:00.000Z";"2025-01-03T04:45:00.000Z";9567.97
"2025-01-03T04:45:00.000Z";"2025-01-03T05:00:00.000Z";9662.98
"2025-01-03T05:00:00.000Z";"2025-01-03T05:15:00.000Z";9774.8
"2025-01-03T05:15:00.000Z";"2025-01-03T05:30:00.000Z";9837.85
"2025-01-03T05:30:00.000Z";"2025-01-03T05:45:00.000Z";9897.65
"2025-01-03T05:45:00.000Z";"2025-01-03T06:00:00.000Z";9864.18
"2025-01-03T06:00:00.000Z";"2025-01-03T06:15:00.000Z";9817.69
"2025-01-03T06:15:00.000Z";"2025-01-03T06:30:00.000Z";9785.43
"2025-01-03T06:30:00.000Z";"2025-01-03T06:45:00.000Z";9849.19
"2025-01-03T06:45:00.000Z";"2025-01-03T07:00:00.000Z";9970.58
"2025-01-03T07:00:00.000Z";"2025-01-03T07:15:00.000Z";9982.38
"2025-01-03T07:15:00.000Z";"2025-01-03T07:30:00.000Z";9904.01
"2025-01-03T07:30:00.000Z";"2025-01-03T07:45:00.000Z";9887.76
"2025-01-03T07:45:00.000Z";"2025-01-03T08:00:00.000Z";9910.86
"2025-01-03T08:00:00.000Z";"2025-01-03T08:15:00.000Z";9876.75
"2025-01-03T08:15:00.000Z";"2025-01-03T08:30:00.000Z";9860.82
"2025-01-03T08:30:00.000Z";"2025-01-03T08:45:00.000Z";9884.17
"2025-01-03T08:45:00.000Z";"2025-01-03T09:00:00.000Z";9917.45
"2025-01-03T09:00:00.000Z";"2025-01-03T09:15:00.000Z";10051.5
"2025-01-03T09:15:00.000Z";"2025-01-03T09:30:00.000Z";10157.4
"2025-01-03T09:30:00.000Z";"2025-01-03T09:45:00.000Z";10173.9
"2025-01-03T09:45:00.000Z";"2025-01-03T10:00:00.000Z";10187.4
"2025-01-03T10:00:00.000Z";"2025-01-03T10:15:00.000Z";10226.7
"2025-01-03T10:15:00.000Z";"2025-01-03T10:30:00.000Z";10225.8
"2025-01-03T10:30:00.000Z";"2025-01-03T10:45:00.000Z";10185.7
"2025-01-03T10:45:00.000Z";"2025-01-03T11:00:00.000Z";10214
"2025-01-03T11:00:00.000Z";"2025-01-03T11:15:00.000Z";10161.2
"2025-01-03T11:15:00.000Z";"2025-01-03T11:30:00.000Z";10075
"2025-01-03T11:30:00.000Z";"2025-01-03T11:45:00.000Z";10126.9
"2025-01-03T11:45:00.000Z";"2025-01-03T12:00:00.000Z";10154.4
"2025-01-03T12:00:00.000Z";"2025-01-03T12:15:00.000Z";10133.7
"2025-01-03T12:15:00.000Z";"2025-01-03T12:30:00.000Z";10061.7
"2025-01-03T12:30:00.000Z";"2025-01-03T12:45:00.000Z";10082.2
"2025-01-03T12:45:00.000Z";"2025-01-03T13:00:00.000Z";10094.2
"2025-01-03T13:00:00.000Z";"2025-01-03T13:15:00.000Z";10136.8
"2025-01-03T13:15:00.000Z";"2025-01-03T13:30:00.000Z";10192.6
"2025-01-03T13:30:00.000Z";"2025-01-03T13:45:00.000Z";10208.4
"2025-01-03T13:45:00.000Z";"2025-01-03T14:00:00.000Z";10201.8
"2025-01-03T14:00:00.000Z";"2025-01-03T14:15:00.000Z";10214.2
"2025-01-03T14:15:00.000Z";"2025-01-03T14:30:00.000Z";10355.7
"2025-01-03T14:30:00.000Z";"2025-01-03T14:45:00.000Z";10459.7
"2025-01-03T14:45:00.000Z";"2025-01-03T15:00:00.000Z";10494.7
"2025-01-03T15:00:00.000Z";"2025-01-03T15:15:00.000Z";10409.3
"2025-01-03T15:15:00.000Z";"2025-01-03T15:30:00.000Z";10187.4
"2025-01-03T15:30:00.000Z";"2025-01-03T15:45:00.000Z";10161.5
"2025-01-03T15:45:00.000Z";"2025-01-03T16:00:00.000Z";10231.2
"2025-01-03T16:00:00.000Z";"2025-01-03T16:15:00.000Z";10273.6
"2025-01-03T16:15:00.000Z";"2025-01-03T16:30:00.000Z";10297.7
"2025-01-03T16:30:00.000Z";"2025-01-03T16:45:00.000Z";10332.9
"2025-01-03T16:45:00.000Z";"2025-01-03T17:00:00.000Z";10385.2
"2025-01-03T17:00:00.000Z";"2025-01-03T17:15:00.000Z";10442.7
"2025-01-03T17:15:00.000Z";"2025-01-03T17:30:00.000Z";10393.7
"2025-01-03T17:30:00.000Z";"2025-01-03T17:45:00.000Z";10321.3
"2025-01-03T17:45:00.000Z";"2025-01-03T18:00:00.000Z";10247.4
"2025-01-03T18:00:00.000Z";"2025-01-03T18:15:00.000Z";10185.9
"2025-01-03T18:15:00.000Z";"2025-01-03T18:30:00.000Z";10159.9
"2025-01-03T18:30:00.000Z";"2025-01-03T18:45:00.000Z";10143.4
"2025-01-03T18:45:00.000Z";"2025-01-03T19:00:00.000Z";10128.5
"2025-01-03T19:00:00.000Z";"2025-01-03T19:15:00.000Z";10022.5
"2025-01-03T19:15:00.000Z";"2025-01-03T19:30:00.000Z";9908.13
"2025-01-03T19:30:00.000Z";"2025-01-03T19:45:00.000Z";9867.59
"2025-01-03T19:45:00.000Z";"2025-01-03T20:00:00.000Z";9830.12
"2025-01-03T20:00:00.000Z";"2025-01-03T20:15:00.000Z";9800.91
"2025-01-03T20:15:00.000Z";"2025-01-03T20:30:00.000Z";9747.67
"2025-01-03T20:30:00.000Z";"2025-01-03T20:45:00.000Z";9721.95
"2025-01-03T20:45:00.000Z";"2025-01-03T21:00:00.000Z";9658.79
"2025-01-03T21:00:00.000Z";"2025-01-03T21:15:00.000Z";9617.59
"2025-01-03T21:15:00.000Z";"2025-01-03T21:30:00.000Z";9636.09
"2025-01-03T21:30:00.000Z";"2025-01-03T21:45:00.000Z";9724.37
"2025-01-03T21:45:00.000Z";"2025-01-03T22:00:00.000Z";9730.89
"2025-01-03T22:00:00.000Z";"2025-01-03T22:15:00.000Z";9563.98
"2025-01-03T22:15:00.000Z";"2025-01-03T22:30:00.000Z";9424.04
"2025-01-03T22:30:00.000Z";"2025-01-03T22:45:00.000Z";9380.24
"2025-01-03T22:45:00.000Z";"2025-01-03T23:00:00.000Z";9334.19
"2025-01-03T23:00:00.000Z";"2025-01-03T23:15:00.000Z";9244.32
"2025-01-03T23:15:00.000Z";"2025-01-03T23:30:00.000Z";9203.19
"2025-01-03T23:30:00.000Z";"2025-01-03T23:45:00.000Z";9238.46
"2025-01-03T23:45:00.000Z";"2025-01-04T00:00:00.000Z";9286.41
"2025-01-04T00:00:00.000Z";"2025-01-04T00:15:00.000Z";9216.78
"2025-01-04T00:15:00.000Z";"2025-01-04T00:30:00.000Z";9113.72
"2025-01-04T00:30:00.000Z";"2025-01-04T00:45:00.000Z";9065.7
"2025-01-04T00:45:00.000Z";"2025-01-04T01:00:00.000Z";9122.35
"2025-01-04T01:00:00.000Z";"2025-01-04T01:15:00.000Z";9133.9
"2025-01-04T01:15:00.000Z";"2025-01-04T01:30:00.000Z";9143.94
"2025-01-04T01:30:00.000Z";"2025-01-04T01:45:00.000Z";9175.55
"2025-01-04T01:45:00.000Z";"2025-01-04T02:00:00.000Z";9182.94
"2025-01-04T02:00:00.000Z";"2025-01-04T02:15:00.000Z";9080.38
"2025-01-04T02:15:00.000Z";"2025-01-04T02:30:00.000Z";8955.04
"2025-01-04T02:30:00.000Z";"2025-01-04T02:45:00.000Z";8891.26
"2025-01-04T02:45:00.000Z";"2025-01-04T03:00:00.000Z";8918.34
"2025-01-04T03:00:00.000Z";"2025-01-04T03:15:00.000Z";8958.37
"2025-01-04T03:15:00.000Z";"2025-01-04T03:30:00.000Z";8951.56
"2025-01-04T03:30:00.000Z";"2025-01-04T03:45:00.000Z";8931.97
"2025-01-04T03:45:00.000Z";"2025-01-04T04:00:00.000Z";8964.52
"2025-01-04T04:00:00.000Z";"2025-01-04T04:15:00.000Z";9136.81
"2025-01-04T04:15:00.000Z";"2025-01-04T04:30:00.000Z";9278.88
"2025-01-04T04:30:00.000Z";"2025-01-04T04:45:00.000Z";9310.22
"2025-01-04T04:45:00.000Z";"2025-01-04T05:00:00.000Z";9316.94
"2025-01-04T05:00:00.000Z";"2025-01-04T05:15:00.000Z";9281.84
"2025-01-04T05:15:00.000Z";"2025-01-04T05:30:00.000Z";9278.29
"2025-01-04T05:30:00.000Z";"2025-01-04T05:45:00.000Z";9302.93
"2025-01-04T05:45:00.000Z";"2025-01-04T06:00:00.000Z";9350.41
"2025-01-04T06:00:00.000Z";"2025-01-04T06:15:00.000Z";9459.04
"2025-01-04T06:15:00.000Z";"2025-01-04T06:30:00.000Z";9649.5
"2025-01-04T06:30:00.000Z";"2025-01-04T06:45:00.000Z";9716.53
"2025-01-04T06:45:00.000Z";"2025-01-04T07:00:00.000Z";9845.48
"2025-01-04T07:00:00.000Z";"2025-01-04T07:15:00.000Z";10008.9
"2025-01-04T07:15:00.000Z";"2025-01-04T07:30:00.000Z";10039.5
"2025-01-04T07:30:00.000Z";"2025-01-04T07:45:00.000Z";10051.3
"2025-01-04T07:45:00.000Z";"2025-01-04T08:00:00.000Z";10166.8
"2025-01-04T08:00:00.000Z";"2025-01-04T08:15:00.000Z";10324.6
"2025-01-04T08:15:00.000Z";"2025-01-04T08:30:00.000Z";10437.2
"2025-01-04T08:30:00.000Z";"2025-01-04T08:45:00.000Z";10429.7
"2025-01-04T08:45:00.000Z";"2025-01-04T09:00:00.000Z";10390.5
"2025-01-04T09:00:00.000Z";"2025-01-04T09:15:00.000Z";10397.9
"2025-01-04T09:15:00.000Z";"2025-01-04T09:30:00.000Z";10388.7
"2025-01-04T09:30:00.000Z";"2025-01-04T09:45:00.000Z";10371.1
"2025-01-04T09:45:00.000Z";"2025-01-04T10:00:00.000Z";10456.6
"2025-01-04T10:00:00.000Z";"2025-01-04T10:15:00.000Z";10507.9
"2025-01-04T10:15:00.000Z";"2025-01-04T10:30:00.000Z";10555.8
"2025-01-04T10:30:00.000Z";"2025-01-04T10:45:00.000Z";10612.4
"2025-01-04T10:45:00.000Z";"2025-01-04T11:00:00.000Z";10633.4
"2025-01-04T11:00:00.000Z";"2025-01-04T11:15:00.000Z";10689.7
